encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb
resnetse5,device:RealWorld_thigh+MotionSense:10+10,192,2,5,1,RealWorld_thigh,0.32222222222222224,0.19253296190680969,0.35435267857142855,0.2007724940126535,10.46112060546875,10.46112060546875
resnetse5,device:RealWorld_thigh+MotionSense:10+10,192,2,5,1,MotionSense,0.3486328125,0.18853951553391948,0.3645833333333333,0.19126944856781572,10.46112060546875,10.46112060546875
resnetse5,device:RealWorld_thigh+MotionSense:10+10,192,2,5,2,RealWorld_thigh,0.38333333333333336,0.2787305348409313,0.4614955357142857,0.3478576202676682,10.46112060546875,10.46112060546875
resnetse5,device:RealWorld_thigh+MotionSense:10+10,192,2,5,2,MotionSense,0.3818359375,0.25643619673861795,0.3671875,0.2083408286862146,10.46112060546875,10.46112060546875
resnetse5,device:RealWorld_thigh+MotionSense:10+10,192,2,5,3,RealWorld_thigh,0.4486111111111111,0.35117694144848954,0.5641741071428571,0.4612461412283226,10.46112060546875,10.46112060546875
resnetse5,device:RealWorld_thigh+MotionSense:10+10,192,2,5,3,MotionSense,0.50390625,0.3934456626837428,0.4296875,0.3087062237447194,10.46112060546875,10.46112060546875
resnetse5,device:RealWorld_thigh+MotionSense:10+10,192,2,5,4,RealWorld_thigh,0.5010416666666667,0.40695781825419797,0.5625,0.4626096743157668,10.46112060546875,10.46112060546875
resnetse5,device:RealWorld_thigh+MotionSense:10+10,192,2,5,4,MotionSense,0.556640625,0.4414455964325951,0.5052083333333334,0.3937440220220087,10.46112060546875,10.46112060546875
resnetse5,device:RealWorld_thigh+MotionSense:10+10,192,2,5,5,RealWorld_thigh,0.503125,0.4132994407173849,0.55859375,0.4601764053375441,10.46112060546875,10.46112060546875
resnetse5,device:RealWorld_thigh+MotionSense:10+10,192,2,5,5,MotionSense,0.587890625,0.4727049708649406,0.5338541666666666,0.42326894269268944,10.46112060546875,10.46112060546875
resnetse5,device:RealWorld_thigh+MotionSense:10+10,192,2,5,6,RealWorld_thigh,0.4913194444444444,0.4135515209488753,0.53515625,0.4471952601878819,10.46112060546875,10.46112060546875
