encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,1,RealWorld_thigh,0.19930555555555557,0.10355625006563644,0.19977678571428573,0.10640350987723324,13.044891357421875,13.044891357421875
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,1,MotionSense,0.2119140625,0.12652518411506386,0.20052083333333334,0.10135270643609946,13.044891357421875,13.044891357421875
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,2,RealWorld_thigh,0.29270833333333335,0.21637017692688046,0.27566964285714285,0.19634889396450553,13.044891357421875,13.044891357421875
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,2,MotionSense,0.2998046875,0.21111624710946805,0.3125,0.2165533707310813,13.044891357421875,13.044891357421875
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,3,RealWorld_thigh,0.31875,0.23089748774977537,0.3080357142857143,0.2061714320206097,13.044891357421875,13.044891357421875
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,3,MotionSense,0.33984375,0.23370916754530713,0.3489583333333333,0.22940386862244674,13.044891357421875,13.044891357421875
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,4,RealWorld_thigh,0.33194444444444443,0.23695880901100552,0.31863839285714285,0.21022331711648212,13.044891357421875,13.044891357421875
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,4,MotionSense,0.3720703125,0.26657411637189266,0.375,0.2508264993690215,13.044891357421875,13.044891357421875
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,5,RealWorld_thigh,0.3451388888888889,0.25142375548310486,0.3443080357142857,0.23999227115636526,13.044891357421875,13.044891357421875
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,5,MotionSense,0.39453125,0.29126349635857113,0.3984375,0.27930294244815707,13.044891357421875,13.044891357421875
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,6,RealWorld_thigh,0.31805555555555554,0.2522533179504463,0.3197544642857143,0.23924883483167222,13.044891357421875,13.044891357421875
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,6,MotionSense,0.4462890625,0.38079953923441173,0.4401041666666667,0.354929081996415,13.044891357421875,13.044891357421875
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,7,RealWorld_thigh,0.378125,0.31759826567099597,0.38113839285714285,0.2961839885678843,13.044891357421875,13.044891357421875
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,7,MotionSense,0.4375,0.3662636743950909,0.4765625,0.38442353920857847,13.044891357421875,13.044891357421875
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,8,RealWorld_thigh,0.3736111111111111,0.30225648111938036,0.3939732142857143,0.3016745717218861,13.044891357421875,13.044891357421875
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,8,MotionSense,0.4384765625,0.3578726130400886,0.4713541666666667,0.37129814103179887,13.044891357421875,13.044891357421875
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,9,RealWorld_thigh,0.37569444444444444,0.30007143661367924,0.4017857142857143,0.308359911840642,13.044891357421875,13.044891357421875
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,9,MotionSense,0.4462890625,0.3586269497588949,0.4635416666666667,0.35059618823079375,13.044891357421875,13.044891357421875
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,10,RealWorld_thigh,0.38125,0.3028146425555291,0.4095982142857143,0.3172041834084642,13.044891357421875,13.044891357421875
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,10,MotionSense,0.4541015625,0.36359423715386435,0.4609375,0.3436991587539719,13.044891357421875,13.044891357421875
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,11,RealWorld_thigh,0.38333333333333336,0.3021862912700025,0.4135044642857143,0.3202515291890657,13.044891357421875,13.044891357421875
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,11,MotionSense,0.4599609375,0.3647880628441018,0.4609375,0.34337731830113244,13.044891357421875,13.044891357421875
