encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb
rnn,device:MotionSense:10,192,1,5,1,MotionSense,0.2998046875,0.21639012199543317,0.328125,0.23382025918257807,6.5224456787109375,6.5224456787109375
rnn,device:MotionSense:10,192,1,5,2,MotionSense,0.4189453125,0.2964093819727452,0.4114583333333333,0.2886443237258262,6.5224456787109375,6.5224456787109375
rnn,device:MotionSense:10,192,1,5,3,MotionSense,0.455078125,0.32213760376534634,0.4479166666666667,0.3180680736536952,6.5224456787109375,6.5224456787109375
rnn,device:MotionSense:10,192,1,5,4,MotionSense,0.4599609375,0.3274411894453589,0.4765625,0.34656805256550327,6.5224456787109375,6.5224456787109375
rnn,device:MotionSense:10,192,1,5,5,MotionSense,0.4677734375,0.3411669537449958,0.4765625,0.34793070060430703,6.5224456787109375,6.5224456787109375
rnn,device:MotionSense:10,192,1,5,6,MotionSense,0.4716796875,0.3525826366972454,0.4869791666666667,0.3568083670843977,6.5224456787109375,6.5224456787109375
rnn,device:MotionSense:10,192,1,5,7,MotionSense,0.4775390625,0.364719488669198,0.4661458333333333,0.34216626845180986,6.5224456787109375,6.5224456787109375
rnn,device:MotionSense:10,192,1,5,8,MotionSense,0.4853515625,0.3721789300304727,0.4791666666666667,0.35301604567635697,6.5224456787109375,6.5224456787109375
rnn,device:MotionSense:10,192,1,5,9,MotionSense,0.494140625,0.38159146781730396,0.5026041666666666,0.37144669037930805,6.5224456787109375,6.5224456787109375
rnn,device:MotionSense:10,192,1,5,10,MotionSense,0.5009765625,0.3902979001597442,0.5026041666666666,0.3725279240891784,6.5224456787109375,6.5224456787109375
rnn,device:MotionSense:10,192,1,5,11,MotionSense,0.51171875,0.3996775999272569,0.5052083333333334,0.37599365622831815,6.5224456787109375,6.5224456787109375
rnn,device:MotionSense:10,192,1,5,12,MotionSense,0.51953125,0.4067282267356531,0.5104166666666666,0.38711292059155006,6.5224456787109375,6.5224456787109375
rnn,device:MotionSense:10,192,1,5,13,MotionSense,0.525390625,0.4144527451970328,0.5182291666666666,0.39499051859094997,6.5224456787109375,6.5224456787109375
rnn,device:MotionSense:10,192,1,5,14,MotionSense,0.5361328125,0.4307113692793281,0.5234375,0.40043796287746775,6.5224456787109375,6.5224456787109375
rnn,device:MotionSense:10,192,1,5,15,MotionSense,0.541015625,0.4437719694842361,0.53125,0.40959506915040894,6.5224456787109375,6.5224456787109375
rnn,device:MotionSense:10,192,1,5,16,MotionSense,0.541015625,0.4483345719893121,0.5416666666666666,0.4390821207334969,6.5224456787109375,6.5224456787109375
rnn,device:MotionSense:10,192,1,5,17,MotionSense,0.5498046875,0.4633439286502925,0.53125,0.43259205912772036,6.5224456787109375,6.5224456787109375
rnn,device:MotionSense:10,192,1,5,18,MotionSense,0.5625,0.48638524217962353,0.5260416666666666,0.42725373639184605,6.5224456787109375,6.5224456787109375
rnn,device:MotionSense:10,192,1,5,19,MotionSense,0.5732421875,0.5040348913910513,0.5234375,0.428138260439839,6.5224456787109375,6.5224456787109375
